Streptococcus_pneumoniae,Lactococcus_lactis,Leuconostoc_mesenteroides,Lactobacillus_helveticus,Lactobacillus_delbrueckii,Geobacillus_stearothermophilus,Staphylococcus_aureus,Streptococcus_oralis,Bacillus_subtilis,Lactobacillus_plantarum,Lactobacillus_reuteri,Streptococcus_agalactiae,Bacillus_anthracis,Lactobacillus_casei,Aneurinibacillus_thermoaerophilus,Bacillus_cereus,Lactobacillus_rhamnosus,Enterococcus_faecalis,Streptococcus_mutans,Bacillus_licheniformis,Streptococcus_mitis,Streptococcus_gordonii,Listeria_monocytogenes,Enterococcus_faecium,Bacillus_pumilus,Paenibacillus_alvei,Lactobacillus_paracasei,Anoxybacillus_tepidamans,Lactobacillus_acidophilus,Lactobacillus_sakei,Bacillus_coagulans,Paenibacillus_polymyxa,Bacillus_megaterium,Lactobacillus_johnsonii
0,0.558377963,0.560212782,0.478138188,0.491750394,0.626970681,0.509627883,0.524533049,0.534563744,0.585707817,0.514644441,0.558818675,0.646699035,0.502051691,0.625520067,0.487903492,0.500040347,0.505360971,0.705193343,0.547734644,0.506746562,0.524514118,0.658703568,0.646837221,0.566658195,0.545953111,0.564548321,0.506022867,0.545770812,0.532908459,0.557257697,0.594751772,0.592920556,0.525636825
0.558377963,0,0.455304175,0.47121107,0.477554701,0.658835736,0.572749663,0.63582556,0.54589819,0.480732139,0.482185575,0.48429121,0.698816411,0.481326654,0.682537964,0.571708883,0.524957308,0.520174185,0.765229658,0.579123856,0.544533489,0.60567057,0.735764152,0.692106611,0.551354642,0.61858815,0.454669996,0.514175476,0.531451941,0.577361921,0.643658428,0.686068625,0.599613469,0.460386638
0.560212782,0.455304175,0,0.45256787,0.470741407,0.67200294,0.575549935,0.647111089,0.523731463,0.451893332,0.397488103,0.502623975,0.714419747,0.481296887,0.688981731,0.595225972,0.529204557,0.496302496,0.715046011,0.576813441,0.547753859,0.609490892,0.703861812,0.658033142,0.554219287,0.623560434,0.48358219,0.520316366,0.531774169,0.533004222,0.614744209,0.639884677,0.57319835,0.450830782
0.478138188,0.47121107,0.45256787,0,0.414760914,0.668579786,0.526990271,0.516737709,0.506287281,0.495577679,0.434404312,0.500680648,0.695898874,0.44869701,0.648929282,0.508446375,0.488277276,0.467756862,0.698551736,0.534984013,0.46782179,0.510853471,0.708767397,0.665794329,0.562500271,0.589350386,0.477213373,0.485116383,0.506393178,0.505565691,0.538335155,0.608036749,0.563374797,0.416415001
0.491750394,0.477554701,0.470741407,0.414760914,0,0.676288847,0.524711624,0.557665035,0.499519577,0.497081661,0.46524208,0.500780032,0.703831179,0.440239723,0.643093601,0.497245153,0.503577234,0.498096346,0.717496951,0.551012933,0.482295206,0.537143812,0.691540038,0.694703641,0.572547408,0.589993023,0.475964254,0.465213431,0.522593415,0.502244088,0.581371063,0.624870895,0.551395191,0.450218708
0.626970681,0.658835736,0.67200294,0.668579786,0.676288847,0,0.639367267,0.698251318,0.691201355,0.720662636,0.614339658,0.532921711,0.511019035,0.628139088,0.658050291,0.606214944,0.512367489,0.626287468,0.770300041,0.669854203,0.669763466,0.652423305,0.708917387,0.511368762,0.586866076,0.487076173,0.681003057,0.619440199,0.519568529,0.629722126,0.729098346,0.683673921,0.714177974,0.693864917
0.509627883,0.572749663,0.575549935,0.526990271,0.524711624,0.639367267,0,0.620767468,0.54230105,0.604937185,0.553288338,0.574005974,0.648150393,0.523920086,0.645578659,0.499804587,0.532850714,0.561633967,0.751611319,0.577025725,0.528615675,0.579328378,0.633652187,0.680410552,0.535898823,0.564334341,0.582011296,0.50804802,0.581140351,0.548750179,0.635401979,0.614378034,0.580699389,0.573078701
0.524533049,0.63582556,0.647111089,0.516737709,0.557665035,0.698251318,0.620767468,0,0.592675347,0.665170965,0.594938079,0.646941578,0.717784376,0.559643356,0.639626761,0.544721932,0.548094705,0.527543044,0.620395099,0.565878905,0.474934113,0.380625039,0.77528274,0.688785007,0.674686534,0.638809049,0.605240506,0.589170572,0.625527241,0.568164366,0.507476768,0.675581023,0.680782122,0.563793468
0.534563744,0.54589819,0.523731463,0.506287281,0.499519577,0.691201355,0.54230105,0.592675347,0,0.535285289,0.530701763,0.56680727,0.693649192,0.504612084,0.663641637,0.529534158,0.559934454,0.527553751,0.687303433,0.535477496,0.516102701,0.564610354,0.651361997,0.721087403,0.569365442,0.633661575,0.522167256,0.526860243,0.59465346,0.536382086,0.605590338,0.620623639,0.570295779,0.560208158
0.585707817,0.480732139,0.451893332,0.495577679,0.497081661,0.720662636,0.604937185,0.665170965,0.535285289,0,0.509648047,0.530783375,0.747045031,0.500176891,0.705106861,0.610855689,0.577052046,0.534062556,0.763753123,0.588295706,0.584096522,0.649143982,0.730759688,0.733021371,0.57005008,0.683367063,0.474029556,0.548001288,0.585151788,0.589404499,0.642902701,0.697729082,0.61842347,0.503669029
0.514644441,0.482185575,0.397488103,0.434404312,0.46524208,0.614339658,0.553288338,0.594938079,0.530701763,0.509648047,0,0.493217222,0.665693384,0.47571669,0.669549947,0.572070629,0.487917678,0.47322545,0.676957904,0.563552615,0.522070013,0.551188996,0.719544096,0.58921602,0.535073198,0.568122482,0.532618834,0.512494169,0.477447263,0.509593431,0.561356203,0.635594165,0.565463901,0.436557474
0.558818675,0.48429121,0.502623975,0.500680648,0.500780032,0.532921711,0.574005974,0.646941578,0.56680727,0.530783375,0.493217222,0,0.574442396,0.50435365,0.653418497,0.547692713,0.470039233,0.521198559,0.774918073,0.598681185,0.580085602,0.597537738,0.711853905,0.55540962,0.524253687,0.510757583,0.488566322,0.548603664,0.428586488,0.554825246,0.6606633,0.648608265,0.635311572,0.519473914
0.646699035,0.698816411,0.714419747,0.695898874,0.703831179,0.511019035,0.648150393,0.717784376,0.693649192,0.747045031,0.665693384,0.574442396,0,0.657223326,0.691260292,0.556305613,0.560910523,0.656488861,0.80751979,0.704016667,0.695929822,0.648591437,0.68453404,0.582772152,0.631531232,0.517990422,0.705132984,0.658757626,0.56283376,0.623973111,0.739540037,0.689878641,0.738276684,0.729374259
0.502051691,0.481326654,0.481296887,0.44869701,0.440239723,0.628139088,0.523920086,0.559643356,0.504612084,0.500176891,0.47571669,0.50435365,0.657223326,0,0.60642244,0.498164847,0.466246272,0.493583238,0.684422174,0.544338422,0.486168386,0.511188977,0.684672708,0.665997543,0.55560565,0.555843588,0.470962812,0.441226688,0.540029749,0.499949803,0.580332441,0.63030404,0.557402638,0.467544499
0.625520067,0.682537964,0.688981731,0.648929282,0.643093601,0.658050291,0.645578659,0.639626761,0.663641637,0.705106861,0.669549947,0.653418497,0.691260292,0.60642244,0,0.608359506,0.600618078,0.644003988,0.734929657,0.68114254,0.654791456,0.566537959,0.793152455,0.66731434,0.676117411,0.628986812,0.679526292,0.619143035,0.674964701,0.611256605,0.71411416,0.732183475,0.704328617,0.691185219
0.487903492,0.571708883,0.595225972,0.508446375,0.497245153,0.606214944,0.499804587,0.544721932,0.529534158,0.610855689,0.572070629,0.547692713,0.556305613,0.498164847,0.608359506,0,0.501079689,0.548367768,0.722661092,0.545466799,0.522976143,0.545282553,0.582681129,0.674216588,0.609012789,0.511696372,0.540550066,0.478803332,0.555654856,0.488469526,0.582903651,0.585207416,0.578371668,0.561433557
0.500040347,0.524957308,0.529204557,0.488277276,0.503577234,0.512367489,0.532850714,0.548094705,0.559934454,0.577052046,0.487917678,0.470039233,0.560910523,0.466246272,0.600618078,0.501079689,0,0.50561968,0.691011517,0.551936336,0.527171043,0.510924049,0.662232051,0.544263106,0.533268778,0.478662819,0.536643644,0.498234237,0.480890405,0.468851103,0.583672324,0.596011258,0.587931385,0.506602289
0.505360971,0.520174185,0.496302496,0.467756862,0.498096346,0.626287468,0.561633967,0.527543044,0.527553751,0.534062556,0.47322545,0.521198559,0.656488861,0.493583238,0.644003988,0.548367768,0.50561968,0,0.704894038,0.543845224,0.539294987,0.534337238,0.728147518,0.632578782,0.55036886,0.592178147,0.524433825,0.530299986,0.529811897,0.544256624,0.55334496,0.644895009,0.616609981,0.505605181
0.705193343,0.765229658,0.715046011,0.698551736,0.717496951,0.770300041,0.751611319,0.620395099,0.687303433,0.763753123,0.676957904,0.774918073,0.80751979,0.684422174,0.734929657,0.722661092,0.691011517,0.704894038,0,0.69204632,0.635549298,0.637368526,0.796682571,0.77040748,0.792968028,0.7290825,0.749693568,0.707520023,0.773324875,0.654419358,0.691896003,0.757940074,0.730600023,0.721660801
0.547734644,0.579123856,0.576813441,0.534984013,0.551012933,0.669854203,0.577025725,0.565878905,0.535477496,0.588295706,0.563552615,0.598681185,0.704016667,0.544338422,0.68114254,0.545466799,0.551936336,0.543845224,0.69204632,0,0.550744379,0.578199018,0.680727872,0.696459766,0.57791009,0.635295267,0.563121727,0.556243443,0.608520644,0.558689296,0.608538822,0.622690777,0.620073721,0.565793545
0.506746562,0.544533489,0.547753859,0.46782179,0.482295206,0.669763466,0.528615675,0.474934113,0.516102701,0.584096522,0.522070013,0.580085602,0.695929822,0.486168386,0.654791456,0.522976143,0.527171043,0.539294987,0.635549298,0.550744379,0,0.401412836,0.660761111,0.70838516,0.595964859,0.611317118,0.524579486,0.499119485,0.595283605,0.547305811,0.596590724,0.61000454,0.547026821,0.515550454
0.524514118,0.60567057,0.609490892,0.510853471,0.537143812,0.652423305,0.579328378,0.380625039,0.564610354,0.649143982,0.551188996,0.597537738,0.648591437,0.511188977,0.566537959,0.545282553,0.510924049,0.534337238,0.637368526,0.578199018,0.401412836,0,0.728400829,0.644137655,0.641436387,0.611515697,0.58953256,0.553324114,0.5883496,0.521185217,0.559485615,0.657633364,0.614664518,0.567215882
0.658703568,0.735764152,0.703861812,0.708767397,0.691540038,0.708917387,0.633652187,0.77528274,0.651361997,0.730759688,0.719544096,0.711853905,0.68453404,0.684672708,0.793152455,0.582681129,0.662232051,0.728147518,0.796682571,0.680727872,0.660761111,0.728400829,0,0.782488487,0.708179382,0.654385414,0.724284384,0.649971564,0.716518752,0.618435879,0.759244753,0.648786576,0.673312802,0.765519687
