target,ecoli_strain,ncbi_taxid
GlcNAc(b1-2)Gal(b1-3)FucNAc(a1-3)GlcNAc,126,562
QuiNAc(b1-3)FucOAc(a1-4)Gal(b1-3)GalNAc(a1-4)QuiNAc,1303,745156
QuiNAc(b1-3)Fuc(a1-4)Gal(b1-3)GalNAc(a1-4)QuiNAc,1303,745156
QuiNAc(b1-3)FucOAc(a1-4)Gal(b1-3)GalNAc(a1-4)QuiNAc(b1-3)FucOAc(a1-4)Gal(b1-3)GalNAc(a1-7)LDManHep,1303,745156
QuiNAc(b1-3)Ribf(b1-4)Gal(b1-3)GalNAc(a1-2)QuiNAc,180/C3,562
Gal(a1-2)Gal(a1-2)[Gal(b1-4)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,2513,562
GlcNAc(a1-4)GlcASer(b1-4)GlcNAc(a1-6)GlcNAc,2775/O8,562
Man(b1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(a1-3)GlcNAc(b1-2)Man,396/C1,562
Glc(a1-4)[Glc(a1-2)]GlcA(b1-4)GalNAcOAc(b1-3)Gal(a1-3)GalNAc(b1-6)Glc,4s,562
Glc(a1-4)[Glc(a1-2)]GlcA(b1-4)GalNAc(b1-3)Gal(a1-3)GalNAc(b1-6)Glc,4s,562
Glc(a1-4)[Glc(a1-2)]GlcA(b1-4)GalNAc(b1-3)Gal(a1-3)GalNAc(b1-6)Glc,4sI2,562
Glc(a1-4)[Glc(a1-2)]GlcA(b1-4)GalNAc(b1-3)Gal(a1-3)GalNAc(b1-6)Glc,4sI4,562
Glc(a1-4)[Glc(a1-2)]GlcA(b1-4)GalNAcOAc(b1-3)Gal(a1-3)GalNAc(b1-6)Glc,4sI:pWclK,562
GlcNAc(a1-4)GalA(a1-2)Ribf(b1-4)Gal(b1-3)GalNAc(b1-4)GlcNAc,522/C1,562
QuiNAc(b1-3)Rha(a1-3)[Gal(a1-6)]Gal(b1-3)D-FucNAc(a1-2)QuiNAc,62D-1,549
QuiNAc(b1-3)Rha(a1-3)[Gal(a1-6)]Gal(b1-3)D-FucNAc(a1-2)QuiNAc,62D1,562
[Fuc(a1-2)]Gal(b1-3)GalNAc(b1-4)GalNAc(a1-3)GalNAc(b1-6)Gal,87/D2,562
GlcOPGroA(a1-4)Gal(b1-4)Glc(b1-3)GlcNAc(b1-4)GlcOPGroA,94/D4,562
D-FucNAc(a1-4)ManNAc(b1-4)GlcNAc(a1-3)D-FucNAc,B,37762
D-FucNAc(a1-4)ManNAcA(b1-4)GlcNAc(a1-3)D-FucNAc,B,37762
Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)LDManHepOPPEtn(a1-5)Kdo,B/PCM/1935,37762
NeuNAc(a2-3)Gal(b1-4)Glc,B41,869694
Glc(a1-3)Glc(a1-3)[LDManHep(a1-6)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)Kdo(a2-7)[KdoOPEtn(a2-4)]Kdo,BB,562
Glc(a1-3)Glc(a1-3)[LDManHep(a1-6)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)Kdo(a2-8)[KdoOPEtn(a2-4)]Kdo,BB,562
LDManHep(a1-3)LDManHep(a1-5)Kdo(a2-8)[KdoOPEtn(a2-4)]Kdo,BB1,562
LDManHep(a1-3)LDManHep(a1-5)Kdo(a2-7)[KdoOPEtn(a2-4)]Kdo,BB1,562
LDManHep(a1-6)LDManHep(a1-3)LDManHepOPPEtn(a1-5)Kdo(a2-7)[KdoOPEtn(a2-4)]Kdo,BB2,562
LDManHep(a1-6)LDManHep(a1-3)LDManHepOPPEtn(a1-5)Kdo(a2-8)[KdoOPEtn(a2-4)]Kdo,BB2,562
LDManHep(a1-3)LDManHepOPPEtn(a1-5)Kdo(a2-7)[KdoOPEtn(a2-4)]Kdo,BB20,562
LDManHep(a1-3)LDManHepOPPEtn(a1-5)Kdo(a2-8)[KdoOPEtn(a2-4)]Kdo,BB20,562
KdoOPEtn(a2-4)[Kdo(a2-7)]Kdo,BB4,562
KdoOPEtn(a2-4)[Kdo(a2-8)]Kdo,BB4,562
Glc(a1-3)LDManHep(a1-3)LDManHep(a1-5)Kdo(a2-7)[KdoOPEtn(a2-4)]Kdo,BB5,562
Glc(a1-3)LDManHep(a1-3)LDManHep(a1-5)Kdo(a2-8)[KdoOPEtn(a2-4)]Kdo,BB5,562
LDManHep(a1-5)Kdo(a2-8)[KdoOPEtn(a2-4)]Kdo,BB7,562
LDManHep(a1-5)Kdo(a2-7)[KdoOPEtn(a2-4)]Kdo,BB7,562
LDManHepOPPEtn(a1-5)Kdo(a2-8)[KdoOPEtn(a2-4)]Kdo,BB9,562
LDManHepOPPEtn(a1-5)Kdo(a2-7)[KdoOPEtn(a2-4)]Kdo,BB9,562
Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)Kdo,BW25113,679895
Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPEtn(a1-5)Kdo,BW25113,679895
LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)Kdo,BW25113,679895
LDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPEtn(a1-5)Kdo,BW25113,679895
GlcA(b1-4)GlcNAc(a1-4)GlcA,Bi/8337/41,562
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)[KdoOPEtn(a2-4)]Kdo,C,498388
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-7)LDManHepOPPEtn(a1-5)[Kdo(a2-4)]KdoOPPEtn,C,498388
Gal(a1-2)Gal(a1-2)Glc(a1-3)Glc,C,498388
Gal(a1-2)Gal(a1-2)[Glc(a1-3)]Glc(a1-3)Glc,C,498388
Gal(a1-2)Gal(a1-2)Glc(a1-3)Glc(a1-3)LDManHep(a1-3)LDManHep,C,498388
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)LDManHep,C,498388
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc,C,498388
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPPEtn(a1-5)[Kdo(a2-4)KdoOPPEtn(a2-4)]Kdo,C/NBRC/13898,562
Ribf(b1-4)Gal(b1-3)GalNAc(a1-2)QuiNAc(b1-3)Ribf,C3,562
GlcNAc(b1-3)Gal(a1-3)Gal(b1-4)Glc,CC1,562
GalA(a1-3)Fuc(a1-3)GlcNAc(b1-3)[Fuc(a1-4)]GlcNAc(b1-4)GalA,CCUG/36899,562
QuiNAc(b1-7)LDManHep(a1-6)Glc(a1-2)Glc(a1-3)Glc,CLM37/PglC,562
Galf(b1-6)Glc(a1-3)RhaOAc(a1-3)[Glc(a1-6)]GlcNAc(a1-2)Galf,CLM37/dwecA,562
Rha(a1-3)[Glc(a1-6)]GlcNAc(b1-4)Rha,CWG1217/dwzx-wbbK,562
Rha(a1-3)GlcNAc(b1-4)Rha,CWG1218/dwzx-wbbK/dgtrA,562
LDManHep(a1-3)LDManHep(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,CWG303,562
LDManHep(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcOPN(b1-6)GlcOPN,CWG303,562
LDManHep(a1-3)LDManHep(a1-5)Kdo,CWG303,562
LDManHep(a1-3)LDManHepOPEtn(a1-5)Kdo,CWG303,562
Gal(a1-2)Glc(a1-2)[Glc(b1-3)]Glc(a1-3)Glc,CWG309/pWQ272,562
Gal(a1-2)Gal(a1-3)Glc,CWG350/pWQ271,562
Glc(a1-2)[GlcNAc(a1-3)]Gal(a1-3)Glc(a1-3)LDManHep,CWG351,562
Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-3)Man,Cat001/pLG91,562
