glycan_id,glycan,species,immunogenicity,inferred_origin,link
1,Glc(a1-1)[L-Xyl(b1-3)L-Xyl(b1-3)L-Xyl(b1-3)L-Xyl(b1-3)L-Xyl(b1-3)L-Xyl(b1-4)L-Aco(a1-3)Gal(b1-3)Glc(b1-4)]Glc,,,Bacteria,
2,GlcNAc(b1-2)[Gal(b1-3)[NeuNAc(a2-6)]GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,Chordata,
3,Man(b1-2)Man(b1-2)D-4dLyxHexOMe,['Candida_albicans'],,,
4,Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)Glc,,,Eukarya,
5,GalA(a1-4)GalA(a1-4)GalA(a1-2)[GalOMe(a1-4)GalOMe(a1-4)]Rha,,,Angiosperms,
6,Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)Glc,,,Chordata,
7,GlcA(b1-2)[Rha(a1-3)]Man,,,Bacteria,
8,Man(b1-3)[Man(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Angiosperms,
9,GlcOAcNOOle(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)[FucOMe(a1-6)]GlcNAc,['Bradyrhizobium_japonicum'],,,
10,Gal(b1-3)[D-Fuc(a1-3)GlcNAc(b1-6)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc,,,Chordata,
11,GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)[GlcNAc(b1-2)Man(a1-3)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Gallus_gallus'],,,N
12,Fruf(b2-1)[Gal(a1-6)Gal(a1-6)Gal(a1-6)Gal(a1-6)Gal(a1-6)Gal(a1-6)]Glc,,,Basidiomycota,
13,Kdo(a2-4)[FucN(a1-3)QuiN(b1-3)Rha(a1-3)[Glc(a1-6)]Glc(b1-3)[Glc(a1-4)]GalN(a1-3)HepOP(b1-3)HepOP(b1-5)]Kdo(a2-6)GlcOPN(b1-6)GlcN,,,Bacteria,
